file,class,language,pattern,is_presentation,SLOC,NOM,WMC,CBO,LCOM
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\feedback\Feedback.kt,View,kotlin,MVP,False,5,3,3,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\feedback\Feedback.kt,Presenter,kotlin,MVP,True,3,1,1,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\feedback\FeedbackPresenter.kt,FeedbackPresenter,kotlin,MVP,True,36,1,3,7,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\initializers\DefaultUnitInitializer.kt,DefaultUnitInitializer,kotlin,MVP,False,14,1,3,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\initializers\FabricInitializer.kt,FabricInitializer,kotlin,MVP,False,7,1,2,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\initializers\Initializer.kt,Initializer,kotlin,MVP,False,3,1,1,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\initializers\Initializers.kt,Initializers,kotlin,MVP,False,7,1,1,4,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\initializers\LeakCanaryInitializer.kt,LeakCanaryInitializer,kotlin,MVP,False,7,1,2,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\logger\DFMLogger.kt,DFMLogger,kotlin,MVP,False,26,4,8,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\map\Haversine.kt,Haversine,kotlin,MVP,False,64,6,19,3,1.0
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\map\LocationUtils.kt,LocationUtils,kotlin,MVP,False,7,0,0,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\service\GeofencingService.kt,GeofencingService,kotlin,MVP,False,77,12,17,11,0.9205
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\ui\ElevationChartView.kt,ElevationChartView,kotlin,MVP,False,54,3,3,11,1.0
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\data\AddressRemoteDataSource.kt,AddressRemoteDataSource,kotlin,MVP,False,36,6,8,9,0.975
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\data\AddressRepository.kt,AddressRepository,kotlin,MVP,False,8,2,2,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\data\AddressRepository.kt,Callback,kotlin,MVP,False,4,2,2,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\domain\GetAddressCoordinatesByNameInteractor.kt,GetAddressCoordinatesByNameInteractor,kotlin,MVP,False,42,6,9,11,0.78
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\domain\GetAddressCoordinatesByNameUseCase.kt,GetAddressCoordinatesByNameUseCase,kotlin,MVP,False,7,1,1,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\domain\GetAddressCoordinatesByNameUseCase.kt,Callback,kotlin,MVP,False,4,2,2,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\domain\GetAddressNameByCoordinatesInteractor.kt,GetAddressNameByCoordinatesInteractor,kotlin,MVP,False,42,6,9,12,0.78
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\domain\GetAddressNameByCoordinatesUseCase.kt,GetAddressNameByCoordinatesUseCase,kotlin,MVP,False,7,1,1,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\domain\GetAddressNameByCoordinatesUseCase.kt,Callback,kotlin,MVP,False,4,2,2,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\presentation\Address.kt,Address,kotlin,MVP,False,18,0,0,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\presentation\Address.kt,Presenter,kotlin,MVP,True,5,3,3,9,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\presentation\Address.kt,View,kotlin,MVP,False,11,9,9,10,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\presentation\AddressPresenter.kt,AddressPresenter,kotlin,MVP,True,65,9,17,16,0.8125
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\data\mapper\AddressCollectionEntityDataMapper.kt,AddressCollectionEntityDataMapper,kotlin,MVP,False,10,1,1,6,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\data\model\AddressCollectionEntity.kt,AddressCollectionEntity,kotlin,MVP,False,1,0,0,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\data\model\AddressCollectionEntity.kt,GeocodingStatus,kotlin,MVP,False,8,0,0,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\data\model\Geometry.kt,Geometry,kotlin,MVP,False,1,0,0,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\data\model\Location.kt,Location,kotlin,MVP,False,3,0,0,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\data\model\Result.kt,Result,kotlin,MVP,False,3,0,0,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\domain\model\Address.kt,Address,kotlin,MVP,False,1,0,0,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\address\domain\model\AddressCollection.kt,AddressCollection,kotlin,MVP,False,1,0,0,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\data\DistanceLocalDataSource.kt,DistanceLocalDataSource,kotlin,MVP,False,25,4,5,8,0.6667
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\data\DistanceRepository.kt,DistanceRepository,kotlin,MVP,False,18,4,4,6,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\data\DistanceRepository.kt,Callback,kotlin,MVP,False,4,2,2,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\data\DistanceRepository.kt,LoadDistancesCallback,kotlin,MVP,False,4,2,2,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\data\DistanceRepository.kt,LoadPositionsByIdCallback,kotlin,MVP,False,4,2,2,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\ClearDistancesInteractor.kt,ClearDistancesInteractor,kotlin,MVP,False,21,4,4,7,0.5833
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\ClearDistancesUseCase.kt,ClearDistancesUseCase,kotlin,MVP,False,7,1,1,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\ClearDistancesUseCase.kt,Callback,kotlin,MVP,False,4,2,2,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\GetPositionListInteractor.kt,GetPositionListInteractor,kotlin,MVP,False,23,4,4,10,0.6
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\GetPositionListUseCase.kt,GetPositionListUseCase,kotlin,MVP,False,7,1,1,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\GetPositionListUseCase.kt,Callback,kotlin,MVP,False,4,2,2,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\InsertDistanceInteractor.kt,InsertDistanceInteractor,kotlin,MVP,False,25,4,4,10,0.6111
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\InsertDistanceUseCase.kt,InsertDistanceUseCase,kotlin,MVP,False,7,1,1,4,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\InsertDistanceUseCase.kt,Callback,kotlin,MVP,False,4,2,2,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\LoadDistancesInteractor.kt,LoadDistancesInteractor,kotlin,MVP,False,21,4,4,10,0.5833
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\LoadDistancesUseCase.kt,LoadDistancesUseCase,kotlin,MVP,False,7,1,1,1,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\distance\domain\LoadDistancesUseCase.kt,Callback,kotlin,MVP,False,4,2,2,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\data\ElevationRemoteDataSource.kt,ElevationRemoteDataSource,kotlin,MVP,False,21,1,3,8,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\data\ElevationRepository.kt,ElevationRepository,kotlin,MVP,False,7,1,1,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\data\ElevationRepository.kt,Callback,kotlin,MVP,False,4,2,2,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\domain\ElevationInteractor.kt,ElevationInteractor,kotlin,MVP,False,42,6,9,12,0.7778
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\domain\ElevationUseCase.kt,ElevationUseCase,kotlin,MVP,False,7,1,1,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\domain\ElevationUseCase.kt,Callback,kotlin,MVP,False,4,2,2,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\presentation\Elevation.kt,Elevation,kotlin,MVP,False,19,0,0,0,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\presentation\Elevation.kt,View,kotlin,MVP,False,10,8,8,3,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\presentation\Elevation.kt,Presenter,kotlin,MVP,True,7,5,5,2,
repos\siempredelao__Distance-From-Me-Android\app\src\main\java\gc\david\dfm\elevation\presentation\ElevationPresenter.kt,ElevationPresenter,kotlin,MVP,True,46,7,12,16,0.7778
